index,text,image,group,id,tag
0,0,0,0,0,Relation
1,0,0,0,1,Relation
2,1,0,0,2,Relation
3,0,0,0,3,Object
4,0,0,0,4,Relation
5,0,1,0,5,Object
6,0,0,0,6,Object
7,1,1,1,7,Object
8,1,0,0,8,Object
9,1,0,0,9,Object
10,0,0,0,10,Object
11,1,0,0,11,Object
12,0,0,0,12,Object
13,0,0,0,13,Object
14,0,0,0,14,Object
15,1,0,0,15,Object
16,0,0,0,16,Object
17,1,0,0,17,Object
18,0,0,0,18,Object
19,1,1,1,19,Object
20,0,0,0,20,Relation
21,0,0,0,21,Relation
22,0,0,0,22,Relation
23,0,0,0,23,Relation
24,1,0,0,24,Relation
25,0,0,0,25,Relation
26,0,0,0,26,Relation
27,0,1,0,27,Relation
28,0,0,0,28,Relation
29,1,1,1,29,Relation
30,1,0,0,30,Relation
31,0,0,0,31,Relation
32,1,0,0,32,Relation
33,1,0,0,33,Relation
34,0,0,0,34,Relation
35,0,0,0,35,Relation
36,1,0,0,36,Relation
37,1,0,0,37,Relation
38,0,0,0,38,Relation
39,0,0,0,39,Relation
40,1,0,0,40,Relation
41,0,0,0,41,Relation
42,1,0,0,42,Relation
43,0,0,0,43,Relation
44,0,0,0,44,Relation
45,1,1,1,45,Relation
46,0,0,0,46,Relation
47,0,0,0,47,Relation
48,0,0,0,48,Relation
49,1,0,0,49,Object
50,0,1,0,50,Relation
51,0,0,0,51,Relation
52,1,0,0,52,Relation
53,0,0,0,53,Relation
54,0,0,0,54,Relation
55,1,1,1,55,Relation
56,0,0,0,56,Relation
57,0,0,0,57,Relation
58,0,0,0,58,Relation
59,0,0,0,59,Relation
60,0,0,0,60,Relation
61,1,0,0,61,Relation
62,0,0,0,62,Relation
63,0,0,0,63,Relation
64,0,0,0,64,Relation
65,0,0,0,65,Relation
66,0,0,0,66,Relation
67,0,0,0,67,Relation
68,0,0,0,68,Object
69,1,0,0,69,Object
70,0,0,0,70,Relation
71,1,0,0,71,Relation
72,1,1,1,72,Object
73,1,1,1,73,Both
74,1,1,1,74,Both
75,0,0,0,75,Relation
76,0,0,0,76,Relation
77,0,0,0,77,Relation
78,0,0,0,78,Relation
79,1,0,0,79,Relation
80,0,0,0,80,Object
81,0,0,0,81,Object
82,0,0,0,82,Relation
83,0,0,0,83,Relation
